t,dy_left,dy_down,dy_up,dy_right,action
11.889,160,60,9999.0,495,0
11.909,155,55,9999.0,490,0
11.941,150,50,9999.0,485,0
11.962,145,45,9999.0,480,0
11.994,140,40,9999.0,475,0
12.024,135,35,9999.0,470,0
12.043,130,30,9999.0,465,0
12.076,125,25,9999.0,460,0
12.105,120,20,9999.0,455,0
12.124,115,15,9999.0,450,0
12.156,110,9999.0,9999.0,445,4
12.186,105,9999.0,9999.0,440,0
12.208,100,9999.0,9999.0,435,0
12.239,95,9999.0,9999.0,430,0
12.257,90,9999.0,9999.0,425,0
12.289,85,9999.0,9999.0,420,0
12.322,80,9999.0,9999.0,415,0
12.342,75,9999.0,9999.0,410,0
12.371,70,9999.0,9999.0,405,0
12.402,65,9999.0,9999.0,400,0
12.423,60,665,9999.0,395,0
12.454,55,660,9999.0,390,0
12.475,50,655,9999.0,385,0
12.505,45,650,9999.0,380,0
12.536,40,645,9999.0,375,0
12.556,35,640,9999.0,370,0
12.589,30,635,9999.0,365,0
12.609,25,630,9999.0,360,0
12.639,20,625,9999.0,355,0
12.671,15,620,9999.0,350,0
12.69,10,615,9999.0,345,0
12.72,85,610,9999.0,340,1
12.752,80,605,9999.0,335,0
12.772,75,600,9999.0,330,0
12.803,70,595,9999.0,325,0
12.833,65,590,9999.0,320,0
12.855,60,585,9999.0,315,0
12.884,55,580,9999.0,310,0
12.905,50,575,9999.0,305,0
12.937,45,570,9999.0,300,0
12.968,40,565,9999.0,295,0
12.987,35,560,9999.0,290,0
13.02,30,555,9999.0,285,0
13.051,25,550,9999.0,280,0
13.07,20,545,9999.0,275,0
13.103,15,540,9999.0,270,0
13.123,10,535,9999.0,265,0
13.155,5,530,9999.0,260,0
13.185,85,525,9999.0,255,1
13.205,80,520,9999.0,250,0
13.239,75,515,9999.0,245,0
13.259,70,510,9999.0,240,0
13.294,65,505,9999.0,235,0
13.324,60,500,9999.0,230,0
13.344,55,495,9999.0,225,0
13.376,50,490,9999.0,220,0
13.405,45,485,9999.0,215,0
13.428,40,480,9999.0,210,0
13.458,35,475,9999.0,205,0
13.48,30,470,9999.0,200,0
13.51,25,465,9999.0,195,0
13.542,20,460,9999.0,190,0
13.56,15,455,9999.0,185,0
13.591,10,450,9999.0,180,0
13.621,5,445,9999.0,175,0
13.643,545,440,9999.0,170,1
13.677,540,435,9999.0,165,0
13.706,535,430,9999.0,160,0
13.731,530,425,9999.0,155,0
13.764,525,420,9999.0,150,0
13.785,520,415,9999.0,145,0
13.816,515,410,9999.0,140,0
13.845,510,405,9999.0,135,0
13.867,505,400,9999.0,130,0
13.899,500,395,9999.0,125,0
13.918,495,390,9999.0,120,0
13.95,490,385,9999.0,115,0
13.98,485,380,9999.0,110,0
14.002,480,375,9999.0,105,0
14.033,475,370,9999.0,100,0
14.064,470,365,9999.0,95,0
14.086,465,360,9999.0,90,0
14.115,460,355,9999.0,85,0
14.137,455,350,9999.0,80,0
14.167,450,345,9999.0,75,0
14.198,445,340,9999.0,70,0
14.218,440,335,9999.0,65,0
14.251,435,330,9999.0,60,0
14.27,430,325,9999.0,55,0
14.301,425,320,9999.0,50,0
14.332,420,315,9999.0,45,0
14.353,415,310,9999.0,40,0
14.383,410,305,9999.0,35,0
14.414,405,300,9999.0,30,0
14.437,400,295,9999.0,25,0
14.469,395,290,9999.0,20,0
14.497,390,285,9999.0,15,0
14.52,385,280,9999.0,10,0
14.553,380,275,9999.0,5,0
14.572,375,270,9999.0,85,2
14.601,370,265,9999.0,80,0
14.631,365,260,9999.0,75,0
14.654,360,255,9999.0,70,0
14.686,355,250,9999.0,65,0
14.717,350,245,9999.0,60,0
14.74,345,240,9999.0,55,0
14.77,340,235,9999.0,50,0
14.793,335,230,9999.0,45,0
14.823,330,225,9999.0,40,0
14.852,325,220,9999.0,35,0
14.873,320,215,9999.0,30,0
14.904,315,210,665,25,0
14.923,310,205,660,20,0
14.956,305,200,655,15,0
14.984,300,195,650,105,2
15.006,295,190,645,100,0
15.038,290,185,640,95,0
15.07,285,180,635,90,0
15.09,280,175,630,85,0
15.122,275,170,625,80,0
15.142,270,165,620,75,0
15.171,265,160,615,70,0
15.204,260,155,610,65,0
15.224,255,150,605,60,0
15.256,250,145,600,55,0
15.285,245,140,595,50,0
15.306,240,135,590,45,0
15.338,235,130,585,40,0
15.357,230,125,580,35,0
15.391,225,120,575,30,0
